filename,class,xmin,ymin,xmax,ymax
remote/remote_09.jpg,remote,153,29,365,804
remote/remote_07.jpg,remote,256,163,463,889
wine_bottle/wine_22.jpg,wine_bottle,1135,742,1935,3685
wine_bottle/wine_39.jpg,wine_bottle,2578,1800,3535,3457
wine_bottle/wine_36.jpg,wine_bottle,1281,1776,3581,4226
wine_bottle/wine_26.jpg,wine_bottle,1160,420,1904,3509
tv/tv_15.jpg,tv,565,2110,2075,3220
remote/remote_25.jpg,remote,368,601,454,693
tv/tv_36.jpg,tv,1193,920,2173,1520
tv/tv_19.jpg,tv,1638,859,1978,1247
wine_bottle/wine_02.jpg,wine_bottle,1277,136,2189,3758
remote/remote_06.jpg,remote,231,596,414,690
wine_bottle/wine_10.jpg,wine_bottle,2795,1071,3632,4083
tv/tv_30.jpg,tv,1130,1072,1449,1736
wine_bottle/wine_05.jpg,wine_bottle,1049,885,2535,4928
wine_bottle/wine_29.jpg,wine_bottle,494,1296,755,2296
remote/remote_01.jpg,remote,109,157,286,725
wine_bottle/wine_12.jpg,wine_bottle,207,1229,2307,2443
wine_bottle/wine_01.jpg,wine_bottle,261,124,468,873
tv/tv_34.jpg,tv,745,0,1843,1220
tv/tv_28.jpg,tv,445,990,2604,2400
remote/remote_38.jpg,remote,347,117,547,782
remote/remote_10.jpg,remote,130,161,556,733
remote/remote_24.jpg,remote,150,81,383,939
remote/remote_03.jpg,remote,288,409,442,446
remote/remote_18.jpg,remote,127,116,435,846
tv/tv_21.jpg,tv,1112,2717,1433,2957
wine_bottle/wine_40.jpg,wine_bottle,786,0,2804,1609
tv/tv_01.jpg,tv,967,1449,2660,2664
wine_bottle/wine_31.jpg,wine_bottle,1616,1344,4166,3669
wine_bottle/wine_06.jpg,wine_bottle,1325,449,3275,1383
wine_bottle/wine_17.jpg,wine_bottle,1164,1742,3478,2585
remote/remote_30.jpg,remote,55,95,276,839
wine_bottle/wine_30.jpg,wine_bottle,3016,344,3891,3444
wine_bottle/wine_03.jpg,wine_bottle,2379,2166,3479,6351
wine_bottle/wine_04.jpg,wine_bottle,627,2037,1444,5404
remote/remote_28.jpg,remote,104,165,320,797
tv/tv_29.jpg,tv,990,906,1884,1424
tv/tv_06.jpg,tv,679,1022,1839,1667
wine_bottle/wine_32.jpg,wine_bottle,1585,1812,3360,2337
tv/tv_16.jpg,tv,737,746,1904,1435
wine_bottle/wine_38.jpg,wine_bottle,536,351,1318,3342
wine_bottle/wine_11.jpg,wine_bottle,109,3017,2084,3642
wine_bottle/wine_37.jpg,wine_bottle,2597,1440,3622,3515
tv/tv_23.jpg,tv,1317,50,2267,745
tv/tv_11.jpg,tv,814,275,2985,1732
remote/remote_22.jpg,remote,151,309,296,787
tv/tv_35.jpg,tv,408,932,2078,2207
remote/remote_26.jpg,remote,233,131,458,900
remote/remote_36.jpg,remote,249,89,529,959
remote/remote_34.jpg,remote,230,291,440,826
tv/tv_12.jpg,tv,465,550,2855,2500
wine_bottle/wine_13.jpg,wine_bottle,1410,1307,2270,2887
tv/tv_03.jpg,tv,1135,980,2125,1600
wine_bottle/wine_28.jpg,wine_bottle,967,336,3392,1523
remote/remote_13.jpg,remote,147,140,331,731
tv/tv_17.jpg,tv,1018,1383,2411,2257
tv/tv_08.jpg,tv,505,1380,2185,2530
tv/tv_24.jpg,tv,1310,1170,1780,1590
wine_bottle/wine_35.jpg,wine_bottle,952,1440,2180,1804
remote/remote_17.jpg,remote,210,5,463,884
remote/remote_37.jpg,remote,440,579,498,683
remote/remote_12.jpg,remote,178,728,292,792
wine_bottle/wine_33.jpg,wine_bottle,475,1000,2941,1983
tv/tv_07.jpg,tv,917,1136,1867,1759
remote/remote_33.jpg,remote,21,177,726,364
remote/remote_14.jpg,remote,238,637,440,712
tv/tv_05.jpg,tv,1050,1392,1724,1807
remote/remote_04.jpg,remote,186,158,388,957
tv/tv_32.jpg,tv,1595,1735,2480,2302
wine_bottle/wine_09.jpg,wine_bottle,892,842,1821,4514
wine_bottle/wine_25.jpg,wine_bottle,1833,1569,2500,3947
remote/remote_27.jpg,remote,166,214,263,569
tv/tv_37.jpg,tv,893,837,1710,1548
tv/tv_02.jpg,tv,837,982,1804,1748
tv/tv_38.jpg,tv,961,544,1472,887
tv/tv_13.jpg,tv,1075,1360,2005,2030
remote/remote_35.jpg,remote,142,670,273,713
wine_bottle/wine_20.jpg,wine_bottle,1806,1800,2493,3912
remote/remote_40.jpg,remote,223,61,435,756
remote/remote_31.jpg,remote,228,656,415,777
remote/remote_32.jpg,remote,251,68,470,928
remote/remote_05.jpg,remote,524,535,584,648
remote/remote_20.jpg,remote,166,114,459,959
remote/remote_16.jpg,remote,347,672,593,765
wine_bottle/wine_34.jpg,wine_bottle,1085,880,1995,4410
tv/tv_22.jpg,tv,460,850,1939,2320
wine_bottle/wine_19.jpg,wine_bottle,1392,2557,3407,3614
tv/tv_27.jpg,tv,578,773,1944,1790
wine_bottle/wine_07.jpg,wine_bottle,866,339,1853,4439
tv/tv_10.jpg,tv,901,1002,1985,1902
tv/tv_33.jpg,tv,1045,1580,1840,2090
wine_bottle/wine_27.jpg,wine_bottle,515,1165,2743,1979
tv/tv_20.jpg,tv,520,516,2158,1939
remote/remote_02.jpg,remote,246,384,351,413
tv/tv_31.jpg,tv,0,0,2302,2711
